representation,alpha_lyrics,algorithm,params,n_clusters,noise_ratio,n_used_for_metrics,silhouette,davies_bouldin,ARI_language
hybrid_alpha2.0,2.0,kmeans,k=4,4,0.0,2924,0.03232014924287796,3.4682708801082507,0.028713675035002467
hybrid_alpha4.0,4.0,kmeans,k=4,4,0.0,2924,-0.052201010286808014,2.6273950812300138,0.008992297625864346
audio_only,0.0,dbscan,"eps=0.6,min_samples=20",4,0.2640218878248974,2152,0.35541900992393494,0.8733771303637092,0.003881768805653437
hybrid_alpha0.25,0.25,dbscan,"eps=2.0,min_samples=5",45,0.21990424076607387,2281,-0.14875230193138123,0.9693747750455197,0.0034838990809773146
hybrid_alpha0.5,0.5,kmeans,k=4,4,0.0,2924,0.16749446094036102,2.1705560002806643,0.002855607940921575
hybrid_alpha1.0,1.0,kmeans,k=4,4,0.0,2924,0.06160574406385422,2.7723085945738215,0.002441844152804758
hybrid_alpha1.0,1.0,dbscan,"eps=2.0,min_samples=5",45,0.8450752393980848,453,0.672216534614563,0.3750733749183807,0.0018895646579987508
hybrid_alpha2.0,2.0,dbscan,"eps=2.0,min_samples=5",42,0.8792749658002736,353,0.8329645991325378,0.20052077228642926,0.0016752129703038008
hybrid_alpha4.0,4.0,dbscan,"eps=2.0,min_samples=5",40,0.896374829001368,303,0.9071856737136841,0.12935622309302017,0.001632733138088314
hybrid_alpha0.5,0.5,dbscan,"eps=2.0,min_samples=5",53,0.698016415868673,883,0.3009799122810364,0.6315893719689706,0.001418150211260436
audio_only,0.0,agglo,k=4,4,0.0,2924,0.4393240511417389,0.8934520738775578,0.00021123195689308374
hybrid_alpha0.25,0.25,agglo,k=4,4,0.0,2924,0.37119147181510925,0.9925474154100202,0.00018650526207946236
hybrid_alpha2.0,2.0,agglo,k=4,4,0.0,2924,0.2045610547065735,1.30727419513648,9.506256365484841e-05
hybrid_alpha1.0,1.0,agglo,k=4,4,0.0,2924,0.11982612311840057,1.9251570315466198,5.0042043858914804e-05
hybrid_alpha0.5,0.5,agglo,k=4,4,0.0,2924,0.2664217948913574,1.2987766691010594,-1.0916460491060951e-05
audio_only,0.0,kmeans,k=4,4,0.0,2924,0.456238716840744,0.9365316340725784,-6.187527036447033e-05
hybrid_alpha0.25,0.25,kmeans,k=4,4,0.0,2924,0.39076074957847595,1.0319074533139458,-6.187527036447033e-05
hybrid_alpha4.0,4.0,agglo,k=4,4,0.0,2924,0.22955431044101715,0.6227448849550343,-0.0001556705098836549
